Id,Adult,Ages,ColleagueSatisfaction,CompaniesWorkedCount,CompanyDuration,Division,DurationWithCurrManager,EducationBackground,EducationField,HomeDist,JobEngagement,JobLvl,LastPromotion,MarriageStatus,MonthlyPay,Outstation,Performance,Role,RoleDuration,SalaryIncreaseRate,Sex,StockOptionLvl,TrainingCount,WorkLifeQuality,WorkOverTime,WorkSatisfaction,WorkingDuration,WorkingHours,WorkplaceSatisfaction,Resigned
0,Y,37,Medium,,12.0,Research & Development,9,Doctorate,Medical,9.0,Medium,3,4,Single,11951.0,rare,High,Manufacturing Director,8,11,Female,0.0,1,Good,No,Very High,13,80,Very High,0
1,Y,29,Very High,4.0,3.0,Research & Development,2,Master,Medical,1.0,Low,1,1,Married,18535.0,rare,High,Research Scientist,2,14,Male,0.0,3,Good,Yes,Very High,4,80,Low,1
2,Y,20,Low,1.0,2.0,Sales,2,Bachelor,Medical,1.0,High,1,1,Single,10196.0,rare,High,Sales Representative,2,22,Female,0.0,2,Better,No,High,2,80,High,0
3,Y,38,Medium,1.0,15.0,Research & Development,8,Bachelor,Life Sciences,1.0,High,1,3,Single,12105.0,rare,High,Research Scientist,13,12,Female,0.0,2,Better,No,Very High,15,80,Very High,0
4,Y,34,Very High,6.0,6.0,Research & Development,8,Primary,Medical,12.0,High,3,4,Married,18450.0,rare,High,Manager,6,12,Male,0.0,1,Best,Yes,High,13,80,Medium,1
5,Y,29,High,1.0,6.0,Sales,8,Secondary,Life Sciences,1.0,Medium,2,0,Married,14555.0,frequent,High,Sales Executive,7,12,Male,1.0,1,Better,Yes,Very High,6,80,High,0
6,Y,22,Low,5.0,2.0,Research & Development,2,Secondary,Life Sciences,,Medium,2,1,Married,14476.0,rare,Very High,Manufacturing Director,2,26,Male,2.0,1,Bad,No,Very High,3,80,Very High,0
7,Y,19,Low,0.0,0.0,Sales,0,Primary,Technical Degree,1.0,Low,1,0,Single,15814.0,frequent,Very High,Sales Representative,0,25,Female,0.0,4,Best,No,Low,1,80,High,1
8,Y,37,Medium,6.0,4.0,Sales,3,Master,Life Sciences,8.0,Medium,1,0,Single,5647.0,rare,Very High,Sales Representative,3,28,Male,0.0,3,Better,No,Low,9,80,High,1
9,Y,52,Low,1.0,6.0,Research & Development,8,Master,Life Sciences,15.0,High,2,0,Divorced,17850.0,no travel,High,Manufacturing Director,7,17,Male,2.0,0,Better,Yes,Very High,6,80,Very High,0
10,Y,31,Very High,1.0,9.0,Research & Development,10,Secondary,Medical,23.0,High,2,0,Married,9239.0,rare,High,Research Scientist,8,14,Female,2.0,1,Better,No,Very High,10,80,Very High,0
11,Y,35,High,1.0,5.0,Sales,4,Bachelor,Other,1.0,High,2,0,Single,14142.0,rare,Very High,Sales Executive,5,26,Male,0.0,4,Better,No,Very High,5,80,Very High,0
12,Y,30,Medium,1.0,9.0,Sales,10,Bachelor,Medical,4.0,Medium,2,0,Divorced,3011.0,rare,High,Sales Executive,0,14,Male,1.0,2,Good,Yes,Medium,9,80,Low,0
13,Y,25,Very High,1.0,2.0,Research & Development,1,Bachelor,Medical,1.0,High,1,1,Single,14246.0,rare,High,Research Scientist,2,21,Female,0.0,2,Good,No,Medium,2,80,Very High,0
14,Y,47,Low,1.0,5.0,Human Resources,4,Master,Medical,20.0,High,1,0,Single,6614.0,rare,High,Human Resources,3,18,Male,0.0,2,Better,No,Medium,5,80,Medium,0
15,Y,31,High,2.0,2.0,Research & Development,2,Bachelor,Life Sciences,1.0,Low,1,0,,18273.0,rare,Very High,Laboratory Technician,2,25,Male,2.0,1,Better,No,High,6,80,Very High,0
16,Y,49,High,1.0,17.0,Research & Development,8,Master,Medical,13.0,Very High,2,1,Divorced,5482.0,frequent,High,Manufacturing Director,11,22,Male,0.0,2,Best,Yes,High,18,80,High,0
17,Y,47,High,1.0,8.0,Research & Development,9,Secondary,Life Sciences,19.0,High,2,0,Married,10768.0,no travel,High,Laboratory Technician,8,17,Male,1.0,1,Better,Yes,Low,8,80,Very High,0
18,Y,46,High,1.0,4.0,Research & Development,3,Secondary,Medical,1.0,High,1,1,Divorced,8628.0,frequent,High,Research Scientist,3,12,Male,3.0,1,Good,Yes,Medium,5,80,High,1
19,Y,43,High,1.0,9.0,Research & Development,9,Secondary,Technical Degree,6.0,Very High,1,0,Married,14270.0,rare,High,Research Scientist,6,14,Female,,2,Better,No,High,9,80,Medium,0
20,Y,34,Medium,1.0,12.0,Research & Development,9,Master,Medical,24.0,Medium,2,2,,2846.0,frequent,Very High,Research Scientist,7,26,Female,0.0,3,Better,No,High,13,80,Low,1
21,Y,20,Low,1.0,2.0,Research & Development,2,Bachelor,Life Sciences,2.0,Medium,1,0,Single,9888.0,rare,High,Laboratory Technician,2,12,Male,0.0,1,Good,No,High,2,80,Low,0
22,Y,46,Very High,2.0,2.0,Research & Development,2,Master,Life Sciences,1.0,Very High,2,1,Married,7373.0,rare,High,Healthcare Representative,0,17,Male,1.0,4,Better,No,Low,9,80,Medium,0
23,Y,37,High,2.0,3.0,Research & Development,2,Secondary,Medical,8.0,Medium,2,0,Divorced,10691.0,rare,High,Manufacturing Director,2,11,Male,1.0,1,Better,Yes,Medium,12,80,Medium,0
24,Y,35,High,1.0,9.0,Sales,9,Secondary,Technical Degree,7.0,Very High,2,2,Married,16641.0,rare,Very High,Sales Executive,8,25,Male,2.0,4,Better,No,High,9,80,Medium,0
25,Y,24,High,2.0,0.0,Research & Development,0,Bachelor,Medical,8.0,High,1,0,Single,12916.0,frequent,High,Laboratory Technician,0,11,Male,0.0,1,Good,Yes,Low,3,80,Medium,1
26,Y,45,Very High,6.0,14.0,Research & Development,15,Bachelor,Medical,5.0,Medium,5,4,Married,16940.0,rare,High,Manager,13,14,Female,0.0,1,Better,No,High,19,80,Low,0
27,Y,41,Low,6.0,6.0,Research & Development,8,Primary,Life Sciences,20.0,High,2,0,Single,4451.0,rare,High,Research Scientist,7,14,Male,0.0,1,Better,No,Very High,16,80,Low,0
28,Y,30,High,1.0,9.0,Research & Development,8,Secondary,Life Sciences,19.0,Very High,1,0,Married,17840.0,rare,Very High,Research Scientist,7,29,Male,1.0,2,Better,No,High,9,80,High,0
29,Y,22,Medium,1.0,1.0,Research & Development,0,Secondary,Medical,13.0,Very High,1,0,Divorced,5892.0,no travel,High,Laboratory Technician,0,14,Male,2.0,1,Good,Yes,Very High,1,80,Very High,0
30,Y,29,High,1.0,4.0,Research & Development,2,Bachelor,Medical,17.0,High,1,0,Married,5419.0,rare,High,Research Scientist,2,11,Male,1.0,1,Bad,No,Very High,4,80,High,0
31,Y,44,Medium,8.0,12.0,Research & Development,8,Bachelor,Medical,5.0,High,3,3,Married,11351.0,rare,High,Research Director,7,14,Male,1.0,2,Best,No,Low,16,80,High,0
32,Y,39,High,3.0,7.0,Sales,8,Master,Life Sciences,1.0,Medium,2,0,Single,9962.0,rare,Very High,Sales Executive,3,26,Female,0.0,1,Best,No,Very High,11,80,Low,0
33,Y,36,High,2.0,4.0,Research & Development,4,Master,Medical,8.0,High,2,0,Single,3640.0,rare,High,Healthcare Representative,2,18,Female,0.0,3,Better,Yes,High,9,80,Low,0
34,Y,30,Low,1.0,,Human Resources,10,Bachelor,Other,14.0,Medium,3,0,Single,7667.0,rare,High,Human Resources,10,14,Male,0.0,2,Good,No,Low,9,80,Medium,0
35,Y,37,Low,1.0,7.0,Research & Development,8,Primary,Medical,15.0,High,1,0,Single,6167.0,frequent,High,Laboratory Technician,1,14,Female,0.0,1,Better,No,Very High,7,80,Medium,0
36,Y,27,High,1.0,4.0,Research & Development,2,Master,Technical Degree,1.0,High,1,0,Married,4984.0,rare,High,Research Scientist,3,11,Male,,2,Good,No,Medium,5,80,Medium,0
37,Y,31,Low,0.0,8.0,Research & Development,8,Bachelor,Technical Degree,5.0,Medium,2,4,Married,17732.0,rare,High,Laboratory Technician,2,12,Female,1.0,4,Better,No,Very High,9,80,Low,0
38,Y,38,High,1.0,9.0,Research & Development,8,Bachelor,Other,8.0,High,3,0,Divorced,7876.0,frequent,High,Research Director,8,15,Male,3.0,0,Better,Yes,Very High,9,80,Medium,0
39,Y,39,Very High,2.0,6.0,Sales,8,Secondary,Life Sciences,1.0,High,2,0,Divorced,14705.0,rare,High,Sales Executive,7,17,Female,1.0,2,Better,No,Low,10,80,Medium,0
40,Y,54,Medium,2.0,4.0,Sales,2,Bachelor,Marketing,1.0,High,3,2,Married,11752.0,frequent,High,Sales Executive,2,11,Male,0.0,4,Better,No,Medium,13,80,Medium,0
41,Y,30,Medium,2.0,0.0,Sales,0,Bachelor,Medical,1.0,Medium,2,0,Married,3251.0,rare,High,Sales Executive,0,22,Male,2.0,1,Better,No,Medium,9,80,Low,0
42,Y,58,Very High,7.0,21.0,Research & Development,16,Master,Medical,11.0,Very High,5,1,Single,10259.0,rare,High,Research Director,16,11,Male,0.0,2,Better,No,Medium,33,80,High,0
43,Y,18,Low,1.0,0.0,Sales,0,Bachelor,Medical,8.0,Medium,1,0,Single,7635.0,rare,High,Sales Representative,0,12,Female,,1,Better,No,High,0,80,Very High,0
44,Y,45,High,1.0,6.0,Sales,8,Master,Life Sciences,1.0,High,2,4,Married,14548.0,frequent,Very High,Sales Executive,7,24,Male,1.0,4,Better,No,Very High,6,80,Low,0
45,Y,39,Low,2.0,4.0,Sales,3,Master,Marketing,1.0,Low,2,0,Married,3656.0,rare,Very High,Sales Representative,2,24,Female,2.0,3,Good,Yes,Very High,18,80,Medium,0
46,Y,42,High,2.0,7.0,Research & Development,8,Master,Other,8.0,High,2,0,Divorced,17346.0,no travel,High,Laboratory Technician,7,11,Male,2.0,1,Best,No,High,10,80,High,0
47,Y,31,High,,9.0,Sales,2,Bachelor,Marketing,4.0,Medium,2,0,Divorced,4517.0,rare,High,Sales Executive,10,14,Female,3.0,1,Better,No,High,9,80,Very High,0
48,Y,39,High,2.0,4.0,Research & Development,2,Bachelor,Life Sciences,9.0,Medium,2,0,Divorced,3685.0,frequent,High,Healthcare Representative,3,17,Male,1.0,2,Good,No,Low,12,80,Low,0
49,Y,24,Very High,0.0,2.0,Human Resources,1,Bachelor,Medical,8.0,High,1,1,Married,2097.0,frequent,High,Human Resources,2,15,Male,1.0,1,Better,No,Very High,3,80,Low,0
50,Y,36,Medium,1.0,8.0,Research & Development,1,Master,Life Sciences,3.0,High,2,0,Single,2527.0,frequent,High,Research Scientist,6,11,Male,0.0,2,Better,Yes,High,8,80,High,0
51,Y,37,Medium,,4.0,Research & Development,2,Master,Life Sciences,8.0,Very High,1,0,Married,7282.0,no travel,Very High,Laboratory Technician,4,26,Male,0.0,2,Better,No,Medium,4,80,Low,0
52,Y,33,Low,2.0,6.0,Research & Development,6,Secondary,Life Sciences,4.0,Medium,2,1,Married,11919.0,rare,High,Research Scientist,1,12,Female,1.0,1,Better,No,Medium,11,80,Very High,0
53,Y,47,Low,3.0,4.0,Sales,3,Secondary,Life Sciences,3.0,High,2,0,Divorced,5162.0,rare,High,Sales Executive,4,11,Female,1.0,2,Best,Yes,Low,8,80,High,0
54,Y,59,Very High,,6.0,Sales,8,Bachelor,Life Sciences,5.0,Very High,4,4,Married,13830.0,frequent,High,Sales Executive,7,11,Female,3.0,0,Good,No,Low,33,80,High,0
55,Y,34,High,1.0,1.0,Research & Development,0,Secondary,Medical,1.0,Medium,1,0,Divorced,15415.0,no travel,High,Laboratory Technician,1,12,Male,3.0,1,Good,No,High,1,80,Medium,0
56,Y,56,High,5.0,15.0,Sales,2,Secondary,Medical,1.0,High,4,10,Divorced,10694.0,rare,High,Manager,14,14,Male,1.0,2,Best,No,High,20,80,High,0
57,Y,32,High,1.0,4.0,Research & Development,3,Primary,Life Sciences,1.0,High,2,0,Married,8761.0,frequent,High,Manufacturing Director,3,12,Female,1.0,0,Better,No,Low,3,80,High,0
58,Y,60,High,2.0,3.0,Research & Development,2,Master,Medical,1.0,High,2,0,Married,2728.0,rare,High,Healthcare Representative,2,11,Male,0.0,1,Better,No,High,13,80,Very High,0
59,Y,36,Very High,1.0,1.0,Research & Development,1,Secondary,Life Sciences,6.0,Medium,1,0,Married,6174.0,rare,High,Laboratory Technician,0,21,Male,1.0,4,Good,No,Very High,1,80,High,0
60,Y,19,High,1.0,1.0,Research & Development,0,Bachelor,Life Sciences,1.0,Medium,1,0,Single,7284.0,rare,Very High,Laboratory Technician,0,26,Male,0.0,2,Good,No,Very High,1,80,Medium,1
61,Y,36,High,2.0,4.0,Research & Development,3,Secondary,Medical,8.0,Medium,3,1,Married,6602.0,no travel,High,Healthcare Representative,0,14,Male,1.0,2,Better,Yes,Low,9,80,High,0
62,Y,56,High,2.0,22.0,Sales,8,Master,Life Sciences,1.0,Medium,4,2,Married,16563.0,rare,High,Manager,8,18,Female,0.0,2,Better,No,Very High,28,80,Low,0
63,Y,42,Low,1.0,,Research & Development,8,Secondary,Technical Degree,20.0,High,2,2,,18325.0,rare,High,Research Scientist,8,19,Male,2.0,2,Better,No,Very High,8,80,Low,0
64,Y,34,Low,0.0,4.0,Sales,3,Bachelor,Medical,6.0,High,2,0,Married,13249.0,frequent,High,Sales Executive,3,15,Male,2.0,1,Better,No,Low,4,80,Very High,0
65,Y,35,Very High,2.0,4.0,Sales,0,Bachelor,Life Sciences,3.0,High,3,0,Married,18323.0,rare,High,Sales Executive,3,14,Male,3.0,2,Better,Yes,Very High,8,80,High,0
66,Y,37,High,0.0,8.0,Sales,9,Secondary,Technical Degree,8.0,High,3,1,Married,17239.0,frequent,High,Sales Executive,7,15,Female,1.0,4,Better,No,Very High,9,80,Medium,0
67,Y,27,Medium,1.0,5.0,Research & Development,3,Bachelor,Life Sciences,3.0,Very High,2,0,Married,4331.0,rare,Very High,Manufacturing Director,2,24,Male,1.0,0,Better,Yes,Medium,5,80,Medium,0
68,Y,27,Very High,1.0,6.0,Research & Development,3,Bachelor,Medical,8.0,High,1,0,Single,9128.0,rare,High,Research Scientist,7,18,Female,0.0,1,Good,No,Medium,6,80,Very High,0
69,Y,32,High,2.0,3.0,Research & Development,0,Doctorate,Life Sciences,7.0,High,4,0,Single,6998.0,rare,High,Research Director,2,11,Female,0.0,2,Best,No,Medium,8,80,Low,0
70,Y,55,Low,0.0,29.0,Research & Development,10,Master,Life Sciences,1.0,Medium,5,7,Married,4697.0,rare,High,Manager,20,15,Male,1.0,4,Better,No,High,31,80,High,0
